invoice_id,order_id,issue_date,due_date,vendor_name,description,subtotal,tax,total,currency
INV-185,order_APmw1z4rouhlw7,2025-11-17,2025-12-03,Slack Technologies,Slack Technologies - Usage-based,20506.27,3691.13,24197.4,INR
INV-186,order_7tHCRQJ0Ac6C5l,2025-03-18,2025-04-07,Dropbox Inc,Dropbox Inc - Usage-based,421.55,75.88,497.43,EUR
INV-187,order_7gwJhZV2pUS6md,2025-11-22,2025-12-14,Adobe Creative Cloud,Adobe Creative Cloud - Subscription,33.51,6.03,39.54,GBP
INV-188,order_qT46XhR4yXxbC3,2025-09-07,2025-09-23,Stripe Payments,Stripe Payments - One-time Payment,167.4,30.13,197.53,GBP
INV-189,order_mNnNqzMz2tayEq,2025-06-21,2025-07-06,Cloudflare Inc,Cloudflare Inc - Subscription,474.62,85.43,560.05,USD
INV-190,order_LPEy4ZbZTYHAsD,2025-03-17,2025-04-02,Dropbox Inc,Dropbox Inc - Subscription,20.93,3.77,24.7,GBP
INV-191,order_wSFvbYodhIYxh7,2025-04-19,2025-05-13,Microsoft Azure,Microsoft Azure - One-time Payment,340.65,61.32,401.97,GBP
INV-192,order_HAkh6Su4VZofJN,2025-01-12,2025-01-31,DigitalOcean,DigitalOcean - Usage-based,351.19,63.21,414.4,GBP
INV-193,order_059ciSEGseUHoG,2026-08-04,2026-08-20,Zoho Corporation,Zoho Corporation - Subscription,98.87,17.8,116.67,USD
INV-194,order_qJjy7KTwsnRWqU,2025-12-03,2025-12-27,Zoho Corporation,Zoho Corporation - Annual Renewal,181.84,32.73,214.57,GBP
INV-195,order_iKl01IhQ2EEBfB,2025-11-09,2025-12-09,Dropbox Inc,Dropbox Inc - Annual Renewal,17792.15,3202.59,20994.74,INR
INV-196,order_oJY3k1IfFWAO78,2026-07-11,2026-08-10,Zoho Corporation,Zoho Corporation - One-time Payment,280.28,50.45,330.73,USD
INV-197,order_tdWNeDWCM4WdcC,2026-08-03,2026-08-22,Shopify Inc,Shopify Inc - Usage-based,8429.68,1517.34,9947.02,INR
INV-198,order_XXk3EP8NZyVx3A,2025-09-27,2025-10-17,Stripe Payments,Stripe Payments - One-time Payment,307.19,55.29,362.48,GBP
INV-199,order_NLWsHOysddNJzB,2026-06-11,2026-07-04,Dropbox Inc,Dropbox Inc - Subscription,105.15,18.93,124.08,EUR
INV-200,order_3JK5gZ8n2ty6Nl,2026-06-09,2026-06-25,Shopify Inc,Shopify Inc - Annual Renewal,65.14,11.73,76.87,EUR
